Tract,Total,18 to 29 years,30 to 44 years,45 to 64 years,65 years and over
101.01,1457,245,476,300,436
101.02,1338,281,327,343,387
102.01,2254,589,683,538,444
102.02,1742,368,694,337,343
103,3615,749,933,1144,789
104.01,1609,247,617,512,233
104.02,1856,290,530,618,418
105,2356,379,453,664,860
106,2498,737,507,621,633
107.01,2206,343,152,601,1110
107.02,1161,198,434,288,241
108,4381,858,1553,845,1125
109.01,1558,573,350,356,279
109.02,2123,671,622,270,560
110.01,2162,462,810,498,392
110.02,1880,334,672,574,300
111.01,2202,407,729,476,590
111.02,1353,206,506,292,349
112,2567,654,669,687,557
113,1998,406,367,433,792
117,1217,139,431,389,258
118,1074,216,265,255,338
119.01,1769,424,536,496,313
119.02,2343,557,750,477,559
120.01,1561,356,468,555,182
120.02,1656,470,701,401,84
121,3138,1111,1326,478,223
122.02,2159,239,663,788,469
122.03,1495,28,801,379,287
122.04,2039,595,573,541,330
123.01,1220,54,297,480,389
123.02,1871,432,631,553,255
124.03,1360,336,225,473,326
124.04,1884,155,492,868,369
124.05,2713,788,1280,467,178
124.06,1235,223,206,519,287
125.02,2629,377,547,724,981
125.03,2080,437,323,970,350
125.04,521,14,42,175,290
126.01,1759,528,650,395,186
126.02,2243,666,837,493,247
127,3516,762,1342,961,451
128.01,1825,342,558,442,483
128.02,1424,706,362,202,154
129.01,2041,598,856,390,197
129.02,3118,1061,1044,496,517
130.01,1537,539,560,267,171
130.02,2147,678,898,394,177
131.01,3229,913,1341,641,334
131.02,2325,408,1067,459,391
132,3453,623,765,1187,878
133,3371,588,718,1048,1017
134.01,1240,255,492,270,223
134.02,1886,372,433,637,444
135,2067,376,719,638,334
151,2291,439,707,472,673
152.01,1401,149,480,288,484
152.02,1889,377,683,409,420
153,1817,502,594,417,304
154.01,2590,614,808,574,594
154.02,1950,206,914,553,277
155,3254,563,738,564,1389
156,2412,428,504,679,801
157.01,4409,2843,714,542,310
157.02,2669,485,1222,667,295
158.01,2607,511,767,715,614
158.02,3094,977,1226,587,304
159,3164,746,650,975,793
160,1963,235,605,507,616
161.01,1861,359,325,346,831
161.02,1784,267,328,589,600
162,2748,803,980,699,266
163,3316,689,1125,1085,417
164,3444,960,1438,742,304
165,4300,1269,1754,719,558
166.01,2592,626,1122,468,376
166.02,2113,854,909,299,51
167,4753,1304,2154,958,337
168.01,3361,652,1624,845,240
168.02,3042,815,1194,743,290
169,2479,437,965,825,252
170,3641,245,1476,1333,587
171.01,3144,405,1415,845,479
171.02,2656,597,996,701,362
176.02,2559,642,856,881,180
176.03,3175,480,1306,982,407
176.04,2128,705,703,602,118
177,1462,227,707,422,106
178.01,2999,236,519,604,1640
178.03,1319,294,543,346,136
178.04,2914,739,1259,705,211
179.03,2004,1004,619,303,78
180,2748,680,1043,812,213
201.01,2493,338,1153,779,223
201.02,2224,268,840,860,256
202.01,1644,309,703,428,204
202.02,3288,1093,899,868,428
203,3076,507,1159,1100,310
204.01,2716,410,762,1222,322
204.02,3664,819,1032,1138,675
205,2301,197,864,940,300
206.01,2602,306,777,1224,295
206.02,2211,333,529,843,506
207.01,2422,247,1014,1017,144
207.02,1593,206,675,398,314
208.01,2528,741,787,668,332
208.02,2100,1007,628,354,111
209,2938,614,1244,699,381
210,3210,570,1297,792,551
211,2859,465,927,930,537
212,2289,327,797,721,444
213,1861,141,740,638,342
214,2962,475,1092,805,590
215,4378,655,1914,1427,382
216,3145,378,924,1121,722
217,3073,421,628,1298,726
218,3109,531,1124,899,555
226,2612,600,1291,593,128
227.02,1623,410,656,450,107
227.04,2695,411,964,914,406
228.01,3611,608,1389,998,616
228.02,1898,292,649,546,411
228.03,3254,754,1253,791,456
229.01,2467,431,994,755,287
229.02,1654,309,609,428,308
229.03,2181,614,700,616,251
230.01,3861,942,778,1286,855
230.03,3038,462,904,1008,664
231.02,2077,287,807,576,407
231.03,2027,524,629,566,308
232,2570,342,721,991,516
233,2556,384,529,969,674
234,2783,696,845,619,623
251,2565,296,1090,706,473
252,3688,395,916,1709,668
253,3445,721,1259,880,585
254.01,2533,426,916,848,343
254.02,2658,427,506,970,755
254.03,2710,290,868,1013,539
255.01,2514,636,250,949,679
255.02,3403,692,928,1038,745
256,3643,790,805,1218,830
257.01,3663,443,835,1714,671
257.02,2869,407,651,982,829
258,1572,313,467,541,251
259,3327,601,805,1224,697
260.01,4334,965,1394,1261,714
260.02,2721,394,693,846,788
260.03,3651,624,801,1382,844
260.04,2508,478,595,743,692
