Tract,Total,Less than 9th grade,"9th to 12th grade, no diploma",High school graduate (includes equivalency),"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree
101.01,1457,96,24,155,138,86,650,308
101.02,1338,161,42,108,366,163,197,301
102.01,2254,51,0,100,301,36,1022,744
102.02,1742,36,0,23,169,40,876,598
103,3615,123,20,343,297,160,1627,1045
104.01,1609,53,8,174,140,22,638,574
104.02,1856,140,23,14,156,71,908,544
105,2356,55,64,304,218,64,710,941
106,2498,269,142,225,646,52,876,288
107.01,2206,953,295,417,131,33,263,114
107.02,1161,103,37,149,209,96,352,215
108,4381,424,135,373,247,222,1799,1181
109.01,1558,33,0,91,71,40,758,565
109.02,2123,86,67,212,162,17,1020,559
110.01,2162,71,120,221,193,39,877,641
110.02,1880,217,86,383,191,37,675,291
111.01,2202,258,148,171,230,48,903,444
111.02,1353,161,1,132,145,126,586,202
112,2567,49,42,233,325,73,1118,727
113,1998,496,225,255,133,172,490,227
117,1217,110,80,66,196,11,467,287
118,1074,206,130,211,72,45,231,179
119.01,1769,25,39,129,390,147,708,331
119.02,2343,318,5,234,294,115,913,464
120.01,1561,31,19,49,370,215,588,289
120.02,1656,104,11,207,282,45,798,209
121,3138,81,10,420,480,217,1508,422
122.02,2159,29,141,544,625,123,496,201
122.03,1495,238,82,175,426,17,346,211
122.04,2039,91,122,179,417,235,770,225
123.01,1220,218,155,162,313,149,113,110
123.02,1871,39,93,277,502,114,596,250
124.03,1360,126,206,324,274,0,326,104
124.04,1884,67,307,481,283,350,285,111
124.05,2713,36,63,256,216,65,1398,679
124.06,1235,57,52,314,63,240,289,220
125.02,2629,430,215,783,717,136,234,114
125.03,2080,39,247,739,552,76,345,82
125.04,521,230,116,0,70,25,80,0
126.01,1759,10,10,35,63,86,1020,535
126.02,2243,48,11,84,182,61,1279,578
127,3516,21,0,112,255,170,1720,1238
128.01,1825,36,39,58,85,28,919,660
128.02,1424,0,0,17,105,0,884,418
129.01,2041,13,1,99,33,47,1112,736
129.02,3118,0,0,338,332,47,1793,608
130.01,1537,0,0,55,96,18,1072,296
130.02,2147,0,8,0,67,43,1407,622
131.01,3229,39,15,104,301,145,1626,999
131.02,2325,0,0,80,228,11,999,1007
132,3453,52,0,37,242,153,1647,1322
133,3371,147,43,213,258,38,1493,1179
134.01,1240,4,0,24,67,113,475,557
134.02,1886,0,0,20,103,71,868,824
135,2067,0,17,131,95,77,1039,708
151,2291,21,23,102,259,35,1173,678
152.01,1401,156,31,110,187,46,421,450
152.02,1889,34,5,219,476,62,591,502
153,1817,79,45,64,127,85,957,460
154.01,2590,0,7,64,259,187,1437,636
154.02,1950,0,16,16,277,21,990,630
155,3254,122,63,481,471,149,1148,820
156,2412,142,69,189,383,81,979,569
157.01,4409,37,49,795,1496,190,1402,440
157.02,2669,0,39,170,231,10,1297,922
158.01,2607,183,241,407,453,150,795,378
158.02,3094,14,77,191,284,94,1460,974
159,3164,86,126,318,418,111,1520,585
160,1963,44,38,129,234,218,570,730
161.01,1861,0,162,294,482,11,454,458
161.02,1784,181,318,498,404,42,176,165
162,2748,0,70,513,300,61,1033,771
163,3316,18,163,265,346,190,1254,1080
164,3444,36,39,269,528,57,1740,775
165,4300,213,173,165,529,87,2059,1074
166.01,2592,17,118,200,284,62,1410,501
166.02,2113,0,25,72,175,60,1347,434
167,4753,0,30,135,453,241,2313,1581
168.01,3361,12,55,171,341,184,1711,887
168.02,3042,0,89,293,708,102,1055,795
169,2479,21,16,198,270,117,1087,770
170,3641,33,7,250,264,19,1689,1379
171.01,3144,24,60,80,258,120,1342,1260
171.02,2656,3,59,152,292,52,1186,912
176.02,2559,30,242,353,806,160,838,130
176.03,3175,15,27,487,880,71,1073,622
176.04,2128,32,123,373,367,233,724,276
177,1462,27,22,129,191,81,637,375
178.01,2999,588,292,302,489,74,723,531
178.03,1319,49,34,236,212,90,482,216
178.04,2914,40,38,94,325,170,1524,723
