Tract,Total,Median Income
101.01,1457,62941
101.02,1338,29275
102.01,2254,165302
102.02,1742,190938
103,3615,136675
104.01,1609,115341
104.02,1856,218521
105,2356,155913
106,2498,53063
107.01,2206,19898
107.02,1161,74010
108,4381,112262
109.01,1558,153023
109.02,2123,126180
110.01,2162,108500
110.02,1880,128036
111.01,2202,111081
111.02,1353,77615
112,2567,137368
113,1998,43438
117,1217,101898
118,1074,40393
119.01,1769,99185
119.02,2343,76844
120.01,1561,68340
120.02,1656,83348
121,3138,92313
122.02,2159,43643
122.03,1495,30375
122.04,2039,57929
123.01,1220,22298
123.02,1871,47000
124.03,1360,26493
124.04,1884,24681
124.05,2713,116546
124.06,1235,31065
125.02,2629,19072
125.03,2080,29830
125.04,521,22911
126.01,1759,164427
126.02,2243,200750
127,3516,217194
128.01,1825,221098
128.02,1424,222364
129.01,2041,200852
129.02,3118,179167
130.01,1537,147308
130.02,2147,191736
131.01,3229,218235
131.02,2325,232880
132,3453,199191
133,3371,174239
134.01,1240,183450
134.02,1886,176000
135,2067,142050
151,2291,123315
152.01,1401,72759
152.02,1889,158056
153,1817,164893
154.01,2590,117885
154.02,1950,182106
155,3254,79906
156,2412,78250
157.01,4409,126791
157.02,2669,193077
158.01,2607,113911
158.02,3094,143233
159,3164,117750
160,1963,112014
161.01,1861,25041
161.02,1784,21388
162,2748,144803
163,3316,125313
164,3444,183810
165,4300,151484
166.01,2592,164750
166.02,2113,193219
167,4753,217841
168.01,3361,159318
168.02,3042,89602
169,2479,140345
170,3641,228952
171.01,3144,178894
171.02,2656,178016
176.02,2559,52250
176.03,3175,82827
176.04,2128,65343
177,1462,155893
178.01,2999,26362
178.03,1319,83304
178.04,2914,136939
179.03,2004,87542
180,2748,178125
201.01,2493,102917
201.02,2224,53300
202.01,1644,144276
202.02,3288,138309
203,3076,183068
204.01,2716,157206
204.02,3664,126897
205,2301,236719
206.01,2602,148365
206.02,2211,148828
207.01,2422,250000
207.02,1593,96786
208.01,2528,86964
208.02,2100,132674
209,2938,119851
210,3210,156375
211,2859,194875
212,2289,173190
213,1861,167787
214,2962,198485
215,4378,237372
216,3145,193750
217,3073,146701
218,3109,190634
226,2612,223375
227.02,1623,215536
227.04,2695,214444
228.01,3611,154886
228.02,1898,106131
228.03,3254,152872
229.01,2467,117784
229.02,1654,154423
229.03,2181,153088
230.01,3861,76087
230.03,3038,135081
231.02,2077,40881
231.03,2027,26919
232,2570,108250
233,2556,72804
234,2783,80050
251,2565,153354
252,3688,147257
253,3445,172292
254.01,2533,163095
254.02,2658,169293
254.03,2710,129602
255.01,2514,126036
255.02,3403,170125
256,3643,120446
257.01,3663,114875
257.02,2869,108452
258,1572,82273
259,3327,129559
260.01,4334,111116
260.02,2721,129018
260.03,3651,99583
260.04,2508,104647
261,4755,119250
262.01,2784,115625
262.02,2624,127539
263.01,3994,110202
263.02,3701,92813
263.03,3433,76250
264.01,2374,72625
264.02,4034,115977
264.03,2915,77448
264.04,1595,73816
301.01,4161,135663
301.02,3682,201702
302.01,3107,109231
302.02,3010,117852
303.01,4821,161348
303.02,3021,144545
304,4166,127119
305,2885,161895
306,1900,202083
307,5225,174083
308,4482,176200
309,4937,170104
310,3023,175158
311,4825,168018
312.01,4741,91125
312.02,2142,137639
313.01,3193,94063
313.02,4131,110761
314.01,1472,89896
314.02,2918,127455
326.01,3656,115125
326.02,3542,130948
327,5526,155132
328.01,3355,124423
328.02,3842,118523
329.01,3917,139555
329.02,3156,101813
330.01,3201,135625
330.02,3244,203068
331,2869,152813
332.01,3764,53654
332.03,2369,55568
332.04,3370,103125
351.01,3380,113000
351.02,3141,169081
352.01,4392,118476
352.02,3770,97455
353,5555,137125
354,5927,122302
401,3238,136771
402,4370,139318
426.01,3428,102824
426.02,2132,143646
427,4050,106854
428,1741,235588
451,3973,176444
452.01,2745,164208
452.02,2347,142539
476,3791,138450
477.01,3887,107102
477.02,2718,103636
478.01,3341,152273
478.02,2743,97105
479.02,2755,138824
479.03,3359,130288
479.04,2401,79449
601,2779,220909
604,1134,74496
605.02,2068,29500
607.01,4286,169811
607.02,1145,88857
607.03,4057,183233
610,3244,87375
611.01,942,15612
611.02,1237,37951
612,2732,97714
614.01,2448,149479
614.02,1790,161402
615.01,1545,250000
615.02,1188,57554
615.03,2500,250000
615.04,900,250000
615.05,586,250000
615.06,3210,250000
615.07,655,170212
615.08,1538,155927
9802,171,0
9803,19,148750
9804.01,0,0
9805.01,99,11316
9806,639,126071
9809,234,74333
9901,0,0
9902,0,0
