ID,Tract_ID,Prec_ID,%Prec,%Tract,Precinct_FID,SupDist,area_precinct,area_tract,overlap_area
816,261,1101,0.01202215,0.00425712,576,11,266009,751211,3198
1056,255,1101,0.98797785,0.244120182,576,11,266009,1076563,262811
568,255,1102,0.984261849,0.174857231,575,11,191255,1076563,188245
929,261,1102,0.015738151,0.004006858,575,11,191255,751211,3010
932,255,1103,1,0.155987011,577,11,167930,1076563,167930
380,255,1104,1,0.072856793,572,11,78435,1076563,78435
204,255,1105,0.999908832,0.101877826,584,11,109688,1076563,109678
1092,256,1105,0.000100284,1.96E-05,584,11,109688,562531,11
582,313.01,1106,0.997998642,0.364396102,556,11,164888,451590,164558
904,309,1106,4.24531E-05,3.77E-06,556,11,164888,1854832,7
1336,313.02,1106,0.001958905,0.000471054,556,11,164888,685810,323
1250,313.01,1107,1,0.292966423,559,11,132301,451590,132301
644,309,1108,1.82736E-05,1.62E-06,560,11,164171,1854832,3
759,312.01,1108,0.11061637,0.035461201,560,11,164171,512110,18160
1376,313.01,1108,0.889371448,0.323321324,560,11,164171,451590,146009
165,312.01,1109,0.857282588,0.210511825,562,11,125752,512110,107805
808,312.02,1109,0.142717412,0.058002443,562,11,125752,309419,17947
1093,312.01,1111,0.556665782,0.176126567,563,11,162029,512110,90196
1276,312.02,1111,0.443328046,0.232151976,563,11,162029,309419,71832
216,312.01,1112,0.446358557,0.127601741,565,11,146398,512110,65346
509,261,1112,0.04554707,0.008876323,565,11,146398,751211,6668
676,312.02,1112,0.508094373,0.240399718,565,11,146398,309419,74384
1031,310,1112,6.83069E-06,1.22E-06,565,11,146398,819579,1
531,260.04,1113,0.000129667,9.81E-05,574,11,254499,336227,33
885,263.01,1113,1.17879E-05,8.16E-06,574,11,254499,367744,3
1134,261,1113,0.999858546,0.338736602,574,11,254499,751211,254463
255,260.04,1114,0.001348569,0.000728674,573,11,181674,336227,245
501,261,1114,0.998629413,0.24150972,573,11,181674,751211,181425
951,255,1114,2.20175E-05,3.72E-06,573,11,181674,1076563,4
44,313.01,1115,5.33783E-06,2.21E-06,557,11,187342,451590,1
492,313.02,1115,1,0.273214369,557,11,187342,685810,187342
2,313.02,1116,1,0.275730061,558,11,189067,685810,189067
137,314,1117,0.783887883,0.150551171,561,11,147988,770541,116006
724,313.02,1117,0.216112117,0.04664166,561,11,147988,685810,31982
641,314,1118,1,0.286694301,564,11,220910,770541,220910
381,312.02,1119,0.744716151,0.394582733,566,11,163943,309419,122091
486,262,1119,0.090604661,0.019178305,566,11,163943,774553,14854
963,261,1119,0.017499985,0.003819162,566,11,163943,751211,2869
1106,314,1119,0.147179203,0.031314322,566,11,163943,770541,24129
476,261,1121,0.420779237,0.090039829,596,11,160747,751211,67639
